user_id,post_id,interaction_type
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBET6PG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBET6PG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBET6PG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBET6PG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBET6PG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBET6PG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBET6PG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBETEYG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBETEYG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBETEYG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBETEYG0,TAGGED
7kbjzgcx3xygokesys6jso13tt9u5n995p9q54a1co7cai9ujcso,2Z1N9M56XB2G0,TAGGED
7kbjzgcx3xygokesys6jso13tt9u5n995p9q54a1co7cai9ujcso,2Z1N9M56XB2G0,TAGGED
7kbjzgcx3xygokesys6jso13tt9u5n995p9q54a1co7cai9ujcso,2Z1N9M56XB2G0,TAGGED
7kbjzgcx3xygokesys6jso13tt9u5n995p9q54a1co7cai9ujcso,2Z1N9M56XB2G0,TAGGED
7kbjzgcx3xygokesys6jso13tt9u5n995p9q54a1co7cai9ujcso,2Z1N9M56XB2G0,TAGGED
7kbjzgcx3xygokesys6jso13tt9u5n995p9q54a1co7cai9ujcso,2Z1N9M56XB2G0,TAGGED
7kbjzgcx3xygokesys6jso13tt9u5n995p9q54a1co7cai9ujcso,2Z1N9M56X4EG0,TAGGED
7kbjzgcx3xygokesys6jso13tt9u5n995p9q54a1co7cai9ujcso,2Z1N9M56X4EG0,TAGGED
7kbjzgcx3xygokesys6jso13tt9u5n995p9q54a1co7cai9ujcso,2Z1N9M56X4EG0,TAGGED
7kbjzgcx3xygokesys6jso13tt9u5n995p9q54a1co7cai9ujcso,2Z1N9M56X4EG0,TAGGED
7kbjzgcx3xygokesys6jso13tt9u5n995p9q54a1co7cai9ujcso,2Z1N9M56X4EG0,TAGGED
7kbjzgcx3xygokesys6jso13tt9u5n995p9q54a1co7cai9ujcso,2Z1N9M56X4EG0,TAGGED
7kbjzgcx3xygokesys6jso13tt9u5n995p9q54a1co7cai9ujcso,2Z1N9M56X4EG0,TAGGED
7kbjzgcx3xygokesys6jso13tt9u5n995p9q54a1co7cai9ujcso,2Z1N9M56X4EG0,TAGGED
